,masterplum,sti,juchemz,Hyphen-ated,Stephen Hagan,Swifty2400,64 squares,Ever
Date,2022-09-11,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1unsr02_ykTkdk_FGPyg599C5rgmNiMz2QuBTfHgs6pE/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mox Sapphire,Mana Crypt,Sol Ring,Mox Emerald,Time Walk,Mox Jet
2,Force of Negation,Urza's Saga,Force of Will,Tinker,Time Vault,"Oko, Thief of Crowns",Mox Pearl,Mox Ruby
3,Vampiric Tutor,"Karn, the Great Creator","Teferi, Time Raveler","Ragavan, Nimble Pilferer",Hullbreacher,Strip Mine,Snapcaster Mage,Thoughtseize
4,Mental Misstep,Demonic Tutor,Spell Pierce,Mana Vault,Mana Drain,Fastbond,"Narset, Parter of Veils",Mox Diamond
5,Counterspell,Chrome Mox,Flooded Strand,Mystical Tutor,Scalding Tarn,Misty Rainforest,Timetwister,Polluted Delta
6,"Lutri, the Spellchaser",Pyroblast,Stoneforge Mystic,Steam Vents,Volcanic Island,Prismatic Vista,Tundra,Underground Sea
7,Mystical Dispute,Red Elemental Blast,Swords to Plowshares,Wooded Foothills,Mox Opal,Mana Leak,Esper Sentinel,Bloodstained Mire
8,Daze,Marsh Flats,Preordain,Arid Mesa,Dack Fayden,Windswept Heath,Solitude,Verdant Catacombs
9,Gitaxian Probe,Inquisition of Kozilek,Ponder,"Minsc & Boo, Timeless Heroes",Consider,Opt,Prismatic Ending,Duress
10,True-Name Nemesis,Dark Ritual,Brazen Borrower,Library of Alexandria,Lightning Bolt,Brainstorm,"Lavinia, Azorius Renegade",Mind Twist
11,Ledger Shredder,Dark Confidant,Skyclave Apparition,Chain Lightning,Fable of the Mirror-Breaker,Vendilion Clique,Palace Jailer,Ancient Tomb
12,Wasteland,Skullclamp,Painter's Servant,Fury,Wheel of Fortune,Tropical Island,Cavern of Souls,Grim Monolith
13,"Otawara, Soaring City",Monastery Mentor,Karakas,"Boseiju, Who Endures",Bonecrusher Giant,Miscast,Lotus Petal,Shelldock Isle
14,Aether Vial,Dauthi Voidwalker,Lose Focus,"Laelia, the Blade Reforged",Murktide Regent,Sylvan Library,"Thalia, Guardian of Thraben","Emry, Lurker of the Loch"
15,Thieving Skydiver,Umezawa's Jitte,"Jace, Vryn's Prodigy","Jace, the Mind Sculptor",Lion's Eye Diamond,"Emrakul, the Aeons Torn",Elite Spellbinder,Baleful Strix
16,Blue Elemental Blast,Unholy Heat,Hydroblast,Abrade,Tolarian Academy,Channel,Archon of Emeria,"Urza, Lord High Artificer"
17,"Thada Adel, Acquisitor",Balance,"Dovin, Hand of Control",Blightsteel Colossus,Tezzeret the Seeker,Breeding Pool,Fateful Absence,Reanimate
