,Ever,DrPeepeepoopooMD,Mattthew.Pardonner,domhrv,Tunalip,64 squares,sti,Hâlian the Protogen
Date,2023-02-10,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1XwZDvxQwm2CXqDIo05_PkB21IdMydOp7Lak78N2-t7I/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mox Jet,Time Walk,Mox Sapphire,Mana Crypt,Mox Emerald,Mox Ruby
2,Thoughtseize,Tinker,Strip Mine,Urza's Saga,Sol Ring,Mox Pearl,Force of Will,Mox Diamond
3,"Ragavan, Nimble Pilferer",Snapcaster Mage,Fastbond,"Oko, Thief of Crowns","Narset, Parter of Veils","Karn, the Great Creator",Mana Drain,Mana Confluence
4,Duress,Gitaxian Probe,Vampiric Tutor,Demonic Tutor,Hullbreacher,Stoneforge Mystic,Spell Pierce,Chaos Warp
5,Inquisition of Kozilek,"Lutri, the Spellchaser",Hexdrinker,Time Vault,Timetwister,Ancient Tomb,Mental Misstep,Lightning Bolt
6,Pyroblast,Force of Negation,"Minsc & Boo, Timeless Heroes",Misty Rainforest,Scalding Tarn,Swords to Plowshares,"Teferi, Time Raveler",Arclight Phoenix
7,Red Elemental Blast,Daze,"Boseiju, Who Endures",Polluted Delta,Flooded Strand,Wasteland,Chrome Mox,Caves of Chaos Adventurer
8,Seasoned Pyromancer,Tolarian Academy,Imperial Seal,Preordain,Dack Fayden,Mana Vault,Mystical Tutor,Rack and Ruin
9,Fable of the Mirror-Breaker,Ponder,Dark Depths,Brainstorm,Counterspell,Karakas,Prismatic Vista,Blood Moon
10,Bloodstained Mire,Lotus Petal,Verdant Catacombs,Sensei's Divining Top,Arid Mesa,Thought-Knot Seer,Windswept Heath,Null Rod
11,Marsh Flats,Lion's Eye Diamond,Wooded Foothills,Reanimate,Mana Leak,White Plume Adventurer,Tropical Island,Trinisphere
12,Dauthi Voidwalker,Brazen Borrower,Crucible of Worlds,Breeding Pool,Volcanic Island,City of Traitors,Library of Alexandria,Simian Spirit Guide
13,Grief,"Urza, Lord High Artificer",Once Upon a Time,Underground Sea,Dragon's Rage Channeler,Solitude,Dig Through Time,Chalice of the Void
14,Blood Crypt,Hydroblast,Badlands,Currency Converter,Ledger Shredder,Seasoned Dungeoneer,Treasure Cruise,Pithing Needle
15,"Laelia, the Blade Reforged",Blue Elemental Blast,Bayou,"Otawara, Soaring City",Tundra,Palace Jailer,Consider,By Force
16,Dark Confidant,Murktide Regent,Veil of Summer,Mystical Dispute,"Jace, the Mind Sculptor",Aether Vial,Shelldock Isle,Mycosynth Lattice
17,Fury,Isochron Scepter,Sylvan Library,Gemstone Caverns,Path to Exile,Cavern of Souls,Show and Tell,Magus of the Moon
18,Hymn to Tourach,"Ashiok, Dream Render",Force of Vigor,"Atraxa, Grand Unifier",Chain Lightning,Esper Sentinel,Oath of Druids,Relic of Progenitus
19,Mind Twist,Tasha's Hideous Laughter,Crop Rotation,Griselbrand,"Jace, Vryn's Prodigy",Phyrexian Revoker,"Emrakul, the Aeons Torn",Goblin Rabblemaster
20,Bonecrusher Giant,Cryptic Command,Leyline of the Void,Flusterstorm,Serum Visions,Lodestone Golem,Channel,Leyline of Punishment
21,Kolaghan's Command,Mystic Sanctuary,Vampire Hexmage,Painter's Servant,Minor Misstep,Liquimetal Coating,Thought Scour,Grafdigger's Cage
22,Dread Fugue,Brain Freeze,"Urborg, Tomb of Yawgmoth",Flash,Miscast,Skyclave Apparition,Mental Note,"Valakut, the Molten Pinnacle"
23,"Kroxa, Titan of Death's Hunger",Winter Orb,Thespian's Stage,Occult Epiphany,Opt,Mishra's Workshop,Carpet of Flowers,Dockside Extortionist
24,Maddening Hex,True-Name Nemesis,Zuran Orb,Archon of Cruelty,Oust,Walking Ballista,Botanical Sanctum,Vandalblast
25,Murderous Rider,Tormod's Crypt,Taiga,"Sheoldred, the Apocalypse",Plateau,Phyrexian Metamorph,Hallowed Fountain,Unlicensed Hearse
26,"Sokenzan, Crucible of Defiance",Mishra's Bauble,Abrupt decay,Zagoth Triome,Fiery Islet,Thorn of Amethyst,Yavimaya Coast,Den of the Bugbear
27,Shatterskull Smashing,Urza's Bauble,Witherbloom Command,Animate Dead,Annul,Smuggler's Copter,Seachrome Coast,Leyline of Anticipation
28,Sheoldred's Edict,"Jace, the Perfected Mind",Nurturing Peatland,Entomb,Flash Flood,Archon of Emeria,Enlightened Tutor,Leyline of Sanctity
29,Malakir Rebirth,Arcum's Astrolabe,Sylvan Scrying,Waker of Waves,Expressive Iteration,Soul-Guide Lantern,Savannah,Mindbreak Trap
30,"Ulamog, the Infinite Gyre",Ruin Crab,Wrenn and Six,Exhume,Miscalculation,"Thalia, Guardian of Thraben",Portal to Phyrexia,Gamble
31,Blackcleave Cliffs,Hedron Crab,"Kozilek, Butcher of Truth",Colossal Skyturtle,Dress Down,"Eiganjo, Seat of the Empire",Balance,Impact Tremors
32,Blightstep Pathway,Seat of the Synod,Liliana of the Veil,Muddle the Mixture,Echo of Eons,Sarevok's Tome,Prismatic Ending,Anger of the Gods
33,Sulfurous Springs,Blightsteel Colossus,Blooming Marsh,Darkslick Shores,Dovin's Veto,Kaldra Compleat,Peek,Wheel of Fortune
34,City of Brass,Spellstutter Sprite,Ramunap Excavator,"Takenuma, Abandoned Mire",March of Otherworldly Light,Mother of Runes,Horizon Canopy,Guttersnipe
35,Hive of the Eye Tyrant,Judge's Familiar,Green Sun's Zenith,Subtlety,Spirebluff Canal,Lion Sash,Stony Silence,"Etali, Primal Storm"
36,Passageway Seer,Standstill,Ancient Stirrings,Grindstone,"Comet, Stellar Pup",Trailblazer's Torch,Swan Song,Abrade
37,Nihil Spellbomb,"Oboro, Palace in the Clouds",Ignoble Hierarch,Manifold Key,Fractured Identity,Cathar Commando,"Emrakul, the Promised End",Hellkite Tyrant
38,Dark Ritual,Noxious Revival,Tireless Tracker,Cut Down,Adarkar Wastes,Sphere of Resistance,Nature's Claim,"Torbran, Thane of Red Fell"
39,Graven Cairns,Gut Shot,Endurance,Unmask,Lose Focus,Spirit of the Labyrinth,Misdirection,"Kiki-Jiki, Mirror Breaker"
40,Faerie Macabre,Archmage's Charm,Chain of Smog,Life from the Loam,Shattering Spree,Containment Priest,"Kozilek, the Great Distortion",Zealous Conscripts
41,Blood Sun,Torrential Gearhulk,Witherbloom Apprentice,Fatal Push,Steam Vents,Remorseful Cleric,Surgical Extraction,Young Pyromancer
42,Baleful Mastery,Snap,Conduit of worlds,Rona's Vortex,Bribery,Loran of the Third Path,Dismember,Splinter Twin
43,"Tourach, Dread Cantor",Spellseeker,Elvish Reclaimer,Tear Asunder,Monastery Mentor,Sorcerous Spyglass,Jack-o'-Lantern,Fervor
44,Virtue's Ruin,Arcane Denial,Piranha marsh,Baleful Strix,Third Path Iconoclast,Sanctifier en-Vec,Forbidden Orchard,Curse of Opulence
45,Sudden Edict,Treachery,Outland Liberator,Thirst for Knowledge,Cascade Bluffs,Rishadan Port,Submerge,Shock
46,Dread of Night,Thassa's Oracle,Overgrown Tomb,Creeping Tar Pit,Celestial Colonnade,"Tomik, Distinguished Advokist",Stifle,Lava Axe
