,DrPeepeepoopooMD,Ever,luca0483,Talanthalos,64 squares,JasterRogue7,sphagan,masterplum
Date,2023-03-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1IhOm2pSzHS9_qiDZf7Rj_j6gt4i-JuYF2PoOb15n3hE/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Time Walk,Mana Crypt,Mox Jet,Sol Ring,Mox Sapphire,Mox Ruby
2,Mox Diamond,Fastbond,Force of Will,Hullbreacher,Thoughtseize,"Ragavan, Nimble Pilferer",Mox Emerald,Mox Pearl
3,Strip Mine,"Oko, Thief of Crowns",Mana Drain,Spell Pierce,Urza's Saga,"Minsc & Boo, Timeless Heroes","Karn, the Great Creator",Ancient Tomb
4,Stoneforge Mystic,Demonic Tutor,Snapcaster Mage,"Teferi, Time Raveler",Time Vault,Mana Vault,Tinker,Chrome Mox
5,Hexdrinker,Vampiric Tutor,Timetwister,Mystical Tutor,Inquisition of Kozilek,"Comet, Stellar Pup",Tolarian Academy,Gitaxian Probe
6,Esper Sentinel,"Boseiju, Who Endures",Polluted Delta,Force of Negation,Lurrus of the Dream-Den,Wrenn and Six,"Urza, Lord High Artificer",White Plume Adventurer
7,Sylvan Library,Misty Rainforest,Preordain,Dack Fayden,Mental Misstep,Wooded Foothills,Prismatic Vista,Swords to Plowshares
8,Marsh Flats,Reanimate,Verdant Catacombs,Flooded Strand,Scalding Tarn,Veil of Summer,Tropical Island,Pyroblast
9,Windswept Heath,Underground Sea,Brainstorm,Volcanic Island,Bloodstained Mire,Arid Mesa,Birds of Paradise,Wasteland
10,Monastery Mentor,Duress,Daze,Ponder,Skullclamp,"Laelia, the Blade Reforged","Jace, the Mind Sculptor",Caves of Chaos Adventurer
11,Sensei's Divining Top,"Atraxa, Grand Unifier",Counterspell,Red Elemental Blast,Lightning Bolt,Plateau,"Nissa, Who Shakes the World",Fable of the Mirror-Breaker
12,Bayou,Flash,Ledger Shredder,Griselbrand,Watery Grave,Bonecrusher Giant,"Yavimaya, Cradle of Growth",Enlightened Tutor
13,Dark Confidant,Archon of Cruelty,Expressive Iteration,"Narset, Parter of Veils",Mishra's Bauble,Painter's Servant,Phyrexian Metamorph,Seasoned Dungeoneer
14,Solitude,Grief,Urza's Bauble,Steam Vents,Dragon's Rage Channeler,Taiga,Noble Hierarch,Walking Ballista
15,Savannah,Shelldock Isle,Fury,Lotus Petal,Third Path Iconoclast,"Chandra, Torch of Defiance",Pentad Prism,Karakas
16,"Thalia, Guardian of Thraben",Abrupt Decay,Dreadhorde Arcanist,Library of Alexandria,Young Pyromancer,Abrade,Winter Orb,Sacred Foundry
17,Dauthi Voidwalker,Baleful Strix,Chain Lightning,Consider,Unholy Heat,Prismatic Ending,Arcum's Astrolabe,"Sokenzan, Crucible of Defiance"
18,Kaldra Compleat,"Sheoldred, the Apocalypse",Murktide Regent,Mystical Dispute,"Jace, Vryn's Prodigy",Manamorphose,Collector Ouphe,Archon of Emeria
19,Assassin's Trophy,Collective Brutality,Subtlety,Wheel of Fortune,Treasure Cruise,Goblin Rabblemaster,"Otawara, Soaring City","Eiganjo, Seat of the Empire"
20,Gemstone Mine,Entomb,Dig Through Time,"Baral, Chief of Compliance",Opt,Grindstone,Mycosynth Lattice,Loran of the Third Path
21,Mana Confluence,Overgrown Tomb,Serum Visions,Show and Tell,Thought Scour,Punishing Fire,Seat of the Synod,Rest in Peace
22,"Adeline, Resplendent Cathar",Nurturing Peatland,Mental Note,Sneak Attack,Mercurial Spelldancer,Grove of the Burnwillows,Tormod's Crypt,Inspiring Vantage
23,Questing Beast,Courser of Kruphix,Sprite Dragon,Path to Exile,Bitterblossom,City of Traitors,Once Upon a Time,Needleverge Pathway
24,Leyline of the Void,Animate Dead,Delver of Secrets,Fire // Ice,Unearth,"Chandra, Dressed to Kill","Thrun, Breaker of Silence",Battlefield Forge
25,Leyline of Sanctity,Woodfall Primus,Xander's Lounge,"Emrakul, the Aeons Torn",Spirebluff Canal,Jetmir's Garden,Tireless Provisioner,Helm of Obedience
26,Scrubland,Blue Elemental Blast,Splinter Twin,Tundra,Fiery Islet,Brotherhood's End,Tireless Tracker,Rip Apart
27,"Gideon, Ally of Zendikar",Hydroblast,Pestermite,Mana Leak,Fatal Push,Torpor Orb,Waterlogged Grove,Palace Jailer
28,Allosaurus Shepherd,Null Rod,Deceiver Exarch,Flame Blitz,Badlands,Stomping Ground,Tree of Tales,Loot Dispute
29,"Urborg, Tomb of Yawgmoth",Creeping Tar Pit,Blood Crypt,Relic of Progenitus,Sleight of Hand,Wear // Tear,Haywire Mite,Shatterskull Smashing
30,"Sorin, Solemn Visitor",Tear Asunder,Fallen Shinobi,Energy Flux,Nihil Spellbomb,Soul-Guide Lantern,Kappa Cannoneer,Containment Priest
31,"Sorin, Vengeful Bloodlord",Dress Down,Vendilion Clique,Fateful Absence,Darkslick Shores,Shadowspear,Portal to Phyrexia,Simian Spirit Guide
32,Collected Company,Clearwater Pathway,Kolaghan's Command,Remand,Blackcleave Cliffs,Fire-Lit Thicket,Chromatic Orrery,Shattering Spree
33,"Thalia, Heretic Cathar",Underground River,Riverglide Pathway,Lion Sash,"Kroxa, Titan of Death's Hunger",Natural State,Brazen Borrower,Stirring Bard
34,Force of Vigor,Blooming Marsh,Shivan Reef,Fragmentize,Claim // Fame,By Force,Mox Opal,Bloodboil Sorcerer
35,Endurance,Breeding Pool,Thieving Skydiver,Hallowed Fountain,Minor Misstep,Ancient Grudge,Thought Monitor,"Lutri, the Spellchaser"
36,Dryad Militant,Toxic Deluge,Dire Fleet Daredevil,Fry,Of One Mind,Altar of the Brood,Pithing Needle,Phyrexian Revoker
37,Sundering Growth,An Offer You Can't Refuse,Flame Slash,True-Name Nemesis,Cabal Therapy,"Domri, Anarch of Bolas",Cyberdrive Awakener,Skyclave Apparition
38,Witherbloom Apprentice,"Leovold, Emissary of Trest","Ashiok, Dream Render",Portable Hole,City of Brass,"Chandra, Awakened Inferno",Cityscape Leveler,"Elesh Norn, Mother of Machines"
39,Chain of Smog,Occult Epiphany,Miscalculation,"Teferi, Hero of Dominaria",Tainted Pact,Trinisphere,Ensnaring Bridge,Blood Moon
40,Umezawa's Jitte,Darkbore Pathway,Raze the Effigy,Worldspine Wurm,Blightstep Pathway,Defense Grid,Artificer Class,Magus of the Moon
41,Ramunap Excavator,Zagoth Triome,Wandering Fumarole,Izzet Charm,Underworld Breach,Rugged Prairie,God-Pharaoh's Statue,Robber of the Rich
42,Anguished Unmaking,Submerge,Pyroclasm,Prismari Command,Lion's Eye Diamond,"Nahiri, the Unforgiving",Academy Manufactor,Cavern of Souls
43,Scavenging Ooze,Carpet of Flowers,Stormcarved Coast,Sulfur Falls,Manifold Key,"Dovin, Hand of Control",Heroic Intervention,Elite Spellbinder
44,Gideon Blackblade,Golgari Rot Farm,Impulse,Glacial Fortress,Despise,Ruby Medallion,Soulless Jailer,Seasoned Pyromancer
45,Gaea's Cradle,Bane of Progress,Shattering Blow,Winds of Change,Divest,Cloudstone Curio,Flashfreeze,Unlicensed Hearse
46,Serra Paragon,Cry of the Carnarium,Expansion // Explosion,Vedalken Shackles,Miscast,Planebound Accomplice,Aether gust,"Heliod, Sun-Crowned"
