,everbrink,trashboat6824,WanderingWinder,DrPeepeepoopooMD,hyphenated,joed8004,sti1983,sphagan
Date,2023-07-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1ii9GsoGuWBby5GUhROe4YNVA1HvbEPCqzH4W_FpWrnc/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,Mox Pearl,Mox Ruby,Mox Emerald,Mox Jet
2,Hullbreacher,Thoughtseize,Time Vault,Force of Will,White Plume Adventurer,"Ragavan, Nimble Pilferer",Time Walk,Sol Ring
3,"Minsc & Boo, Timeless Heroes",Demonic Tutor,Urza's Saga,Force of Negation,Mana Drain,Orcish Bowmasters,Fastbond,"Oko, Thief of Crowns"
4,Misty Rainforest,"Sheoldred, the Apocalypse","Urza, Lord High Artificer",Tinker,Snapcaster Mage,Mana Vault,Spell Pierce,Strip Mine
5,Scalding Tarn,Bloodstained Mire,Tolarian Academy,Mental Misstep,Flooded Strand,Mox Diamond,Polluted Delta,Verdant Catacombs
6,Dack Fayden,Caves of Chaos Adventurer,Grim Monolith,Sensei's Divining Top,Brazen Borrower,Arid Mesa,"Boseiju, Who Endures",Prismatic Vista
7,"Teferi, Time Raveler",Grief,Walking Ballista,Daze,Swords to Plowshares,Seasoned Dungeoneer,Wooded Foothills,Marsh Flats
8,Tundra,Fury,Mox Opal,Gitaxian Probe,Solitude,Wheel of Fortune,Wrenn and Six,Windswept Heath
9,Prismatic Ending,Fable of the Mirror-Breaker,Transmute Artifact,Ancient Tomb,Library of Alexandria,Inquisition of Kozilek,Vampiric Tutor,Tropical Island
10,Taiga,Badlands,Manifold Key,The One Ring,Hallowed Fountain,"Laelia, the Blade Reforged","Jace, Vryn's Prodigy",Savannah
11,Volcanic Island,Reanimate,"Emry, Lurker of the Loch",Timetwister,"Lutri, the Spellchaser",Lightning Bolt,Preordain,Karakas
12,Pyroblast,Lurrus of the Dream-Den,Mishra's Bauble,Chrome Mox,"Otawara, Soaring City",Duress,"Karn, the Great Creator",Skullclamp
13,Veil of Summer,Blood Crypt,Urza's Bauble,Mystical Tutor,Vendilion Clique,Abrade,Ponder,"Grist, the Hunger Tide"
14,Birds of Paradise,Dauthi Voidwalker,Seat of the Synod,Brainstorm,Mystical Dispute,Blackcleave Cliffs,Shelldock Isle,Green Sun's Zenith
15,Delighted Halfling,Dreadbore,Tezzeret the Seeker,Ledger Shredder,Subtlety,Red Elemental Blast,"Yavimaya, Cradle of Growth",Mind Twist
16,"Uro, Titan of Nature's Wrath",Hymn to Tourach,Retrofitter Foundry,Blue Elemental Blast,Hydroblast,Goblin Rabblemaster,"Urborg, Tomb of Yawgmoth",Noble Hierarch
17,Sylvan Library,Dark Ritual,Inventors' Fair,True-Name Nemesis,Consider,Kolaghan's Command,Breeding Pool,Zagoth Triome
18,Collector Ouphe,Terminate,Spellseeker,Lotus Petal,March of Otherworldly Light,Phyrexian Revoker,Grove of the Burnwillows,Bitterblossom
19,Forth Eorlingas!,Seasoned Pyromancer,Trinket Mage,Stoneforge Mystic,Adarkar Wastes,Robber of the Rich,Bayou,Abrupt Decay
20,"Comet, Stellar Pup",Dark Confidant,Chain of Vapor,Phyrexian Metamorph,Hengegate Pathway,Plateau,Steam Vents,Assassin's Trophy
21,Fractured Identity,Animate Dead,Flusterstorm,"Dovin, Hand of Control",Miscast,"Thalia, Guardian of Thraben",Wasteland,Ramunap Excavator
22,Botanical Sanctum,Passageway Seer,Waterlogged Grove,Kaldra Compleat,Glacial Fortress,Chain Lightning,Mana Confluence,Crucible of Worlds
23,City of Brass,Liliana of the Veil,Fiery Islet,Murktide Regent,Counterspell,Savai Triome,Nurturing Peatland,Silent Clearing
24,Scavenging Ooze,Fatal Push,Expedition Map,"Narset, Parter of Veils",Null Rod,Sunbaked Canyon,Exploration,Hexdrinker
25,Questing Beast,Bedevil,"Golos, Tireless Pilgrim",Balance,Containment Priest,Ravenloft Adventurer,Once Upon a Time,Deathrite Shaman
26,Force of Vigor,Toxic Deluge,Reshape,Arcum's Astrolabe,Steel Sabotage,"Kroxa, Titan of Death's Hunger",Tireless Tracker,Tear Asunder
27,Pest Infestation,"Tourach, Dread Cantor",Aether Spellbomb,Hurkyl's Recall,"Eiganjo, Seat of the Empire",Bonecrusher Giant,Carpet of Flowers,Samwise the Stouthearted
28,Mawloc,"Sokenzan, Crucible of Defiance",Soul-Guide Lantern,Pithing Needle,Cathar Commando,Dragon's Rage Channeler,Courser of Kruphix,Sevinne's Reclamation
29,Endurance,"Takenuma, Abandoned Mire",Hope of Ghirapur,Tormod's Crypt,Spell Queller,Blightstep Pathway,"Oboro, Palace in the Clouds",Deeproot Wayfinder
30,Stomping Ground,Shatterskull Smashing,"Ulamog, the Infinite Gyre",Winter Orb,Reprieve,Glorybringer,Crop Rotation,Glissa Sunslayer
31,Temple Garden,Brotherhood's End,"Sai, Master Thopterist",Back to Basics,Remand,Palace Jailer,Choke,Overgrown Tomb
32,Celestial Purge,"Chandra, Torch of Defiance",Thought Monitor,Leyline of the Void,Celestial Colonnade,Thassa's Oracle,Punishing Fire,Haywire Mite
