,joed8004,hyphenated,sti1983,sphagan,drpeepeepoopoomd,everbrink,trashboat6824,bensonericb
Date,2023-09-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1N9uN77kcxsKotbcYSLwocaBUBE3YjmnNoTEKSFzUJjw/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mana Crypt,Time Walk,Mox Jet,Mox Sapphire,Mox Pearl,Sol Ring
2,Fastbond,"Ragavan, Nimble Pilferer",Force of Will,Vampiric Tutor,White Plume Adventurer,Mox Emerald,Mox Ruby,Time Vault
3,Strip Mine,"Oko, Thief of Crowns",Urza's Saga,Force of Negation,Thoughtseize,Mox Diamond,Ancient Tomb,Demonic Tutor
4,Hullbreacher,Tinker,Mana Vault,Spell Pierce,Stoneforge Mystic,"Minsc & Boo, Timeless Heroes",Chrome Mox,Mana Drain
5,Misty Rainforest,Prismatic Vista,"Karn, the Great Creator",Gitaxian Probe,Swords to Plowshares,Scalding Tarn,"Comet, Stellar Pup","Teferi, Time Raveler"
6,Verdant Catacombs,Mental Misstep,Tolarian Academy,Inquisition of Kozilek,Seasoned Dungeoneer,Wooded Foothills,Solitude,Flooded Strand
7,"Boseiju, Who Endures",Snapcaster Mage,The One Ring,Preordain,Reanimate,Volcanic Island,Forth Eorlingas!,Duress
8,Windswept Heath,Dack Fayden,Polluted Delta,Orcish Bowmasters,Caves of Chaos Adventurer,Tropical Island,Prismatic Ending,Underground Sea
9,Dark Depths,"Narset, Parter of Veils",Mox Opal,Brazen Borrower,Arid Mesa,Lightning Bolt,Marsh Flats,"Urza, Lord High Artificer"
10,Timetwister,Noble Hierarch,Mishra's Bauble,Mystical Tutor,Bloodstained Mire,Vendilion Clique,Plateau,Toxic Deluge
11,Balance,Ignoble Hierarch,Urza's Bauble,"Jace, Vryn's Prodigy","Sheoldred, the Apocalypse",Pyroblast,Sacred Foundry,Tundra
12,Enlightened Tutor,Mana Confluence,Painter's Servant,Entomb,Dark Ritual,Taiga,Red Elemental Blast,Mind Twist
13,Wasteland,City of Brass,Ponder,Animate Dead,Lotus Petal,Fury,Abrade,Steam Vents
14,Collector Ouphe,True-Name Nemesis,City of Traitors,Show and Tell,Lurrus of the Dream-Den,Breeding Pool,Path to Exile,Thassa's Oracle
15,Savannah,Hexdrinker,Hallowed Fountain,Brainstorm,Karakas,Fiery Islet,Skyclave Apparition,Underworld Breach
16,Endurance,Energy Flux,Esper Sentinel,Dismember,Sensei's Divining Top,Waterlogged Grove,Loran of the Third Path,Lion's Eye Diamond
17,Spellseeker,"Laelia, the Blade Reforged",Walking Ballista,Exhume,Pack Rat,Fable of the Mirror-Breaker,Bonecrusher Giant,Brain Freeze
18,Stomping Ground,Channel,Library of Alexandria,Archon of Cruelty,Dauthi Voidwalker,Court of Garenbrig,"Otharri, Suns' Glory",Pentad Prism
19,Crucible of Worlds,Birds of Paradise,"Emry, Lurker of the Loch",Muddle the Mixture,Badlands,Mystical Dispute,Monastery Mentor,Flusterstorm
20,Remand,Once Upon a Time,Mishra's Workshop,"Urborg, Tomb of Yawgmoth",Unearth,Faerie Mastermind,Archon of Emeria,Pact of Negation
21,Stern Scolding,Karplusan Forest,Grim Monolith,Watery Grave,Skullclamp,Veil of Summer,Sunbaked Canyon,Expressive Iteration
22,Consider,"Jace, the Mind Sculptor",Manifold Key,Sunken Ruins,Grief,Force of Vigor,Palace Jailer,Demonic Consultation
23,"Uro, Titan of Nature's Wrath",Chain Lightning,Haywire Mite,Darkslick Shores,Scrubland,Blue Elemental Blast,Virtue of Loyalty,Tainted Pact
24,Sylvan Scrying,Meltdown,Chromatic Star,Hydroblast,Leyline of the Void,Scavenging Ooze,Goblin Rabblemaster,Voltaic Key
25,Green Sun's Zenith,"Otawara, Soaring City",Chromatic Sphere,Null Rod,Wheel of Fortune,Prismari Command,Phyrexian Revoker,Gemstone Mine
26,Echo of Eons,Barkchannel Pathway,Portable Hole,Creeping Tar Pit,Dark Confidant,Sylvan Library,Talisman of Conviction,Dimir Signet
27,"Leovold, Emissary of Trest",Cragcrown Pathway,Phyrexian Metamorph,Shipwreck Marsh,Rest in Peace,Maddening Hex,Needleverge Pathway,Chain of Vapor
