,joed8004,_mr.bishop,everbrink,sti1983,yogapantz,tulse,trashboat6824,texasrangermtg
Date,2024-03-16,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1xE-2-T2sIJMddQW_kO27lsSeP648VR4WeikCU2EMz-g/edit#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mox Sapphire,Mana Crypt,Mox Jet,Mox Emerald,Mox Pearl,Time Vault
2,Force of Negation,Thoughtseize,Mox Diamond,Force of Will,Time Walk,Mox Ruby,White Plume Adventurer,Sol Ring
3,Hullbreacher,Demonic Tutor,"Ragavan, Nimble Pilferer",Urza's Saga,Spell Pierce,Strip Mine,Mana Vault,Tinker
4,Mental Misstep,Orcish Bowmasters,"Teferi, Time Raveler","Oko, Thief of Crowns",Snapcaster Mage,"Karn, the Great Creator",Chrome Mox,Vampiric Tutor
5,Dack Fayden,Inquisition of Kozilek,"Minsc & Boo, Timeless Heroes",The One Ring,Forth Eorlingas!,Misty Rainforest,Ancient Tomb,Tolarian Academy
6,Thassa's Oracle,Duress,Scalding Tarn,Mystical Tutor,Flooded Strand,Wooded Foothills,"Comet, Stellar Pup",Grim Monolith
7,Brain Freeze,Dark Ritual,Arid Mesa,Gitaxian Probe,Polluted Delta,Timetwister,Swords to Plowshares,"Urza, Lord High Artificer"
8,Bloodstained Mire,Hymn to Tourach,Windswept Heath,Preordain,Stoneforge Mystic,Wasteland,Solitude,Mana Drain
9,Wheel of Fortune,Reanimate,Karakas,"Boseiju, Who Endures",Ponder,Sensei's Divining Top,Fury,"Narset, Parter of Veils"
10,Lion's Eye Diamond,Lotus Petal,Volcanic Island,Library of Alexandria,Brainstorm,Fastbond,Fable of the Mirror-Breaker,Daze
11,Echo of Eons,"Sheoldred, the Apocalypse",Plateau,Verdant Catacombs,Tundra,Taiga,Red Elemental Blast,True-Name Nemesis
12,Underground Sea,Grief,Prismatic Vista,Tropical Island,"Jace, Vryn's Prodigy",Savannah,Pyroblast,"Emry, Lurker of the Loch"
13,Urza's Bauble,Mind Twist,Veil of Summer,Lorien Revealed,Path to Exile,Birds of Paradise,Marsh Flats,Mox Opal
14,Spellseeker,Null Rod,Prismatic Ending,"Lutri, the Spellchaser",Steam Vents,Sylvan Library,Sacred Foundry,Mishra's Bauble
15,Badlands,Dauthi Voidwalker,Breeding Pool,Shelldock Isle,Counterspell,Enlightened Tutor,March of Otherworldly Light,Transmute Artifact
16,Opt,Liliana of the Veil,Stomping Ground,Consider,Dreadhorde Arcanist,Hallowed Fountain,Abrade,Tezzeret the Seeker
17,Memory Lapse,Imperial Seal,Vendilion Clique,Show and Tell,Mana Leak,Force of Vigor,Stony Silence,Grindstone
18,Leyline of the Void,Helm of Obedience,Mystical Dispute,"Atraxa, Grand Unifier",Expressive Iteration,Delighted Halfling,Rest in Peace,Painter's Servant
19,Demonic Consultation,Dark Depths,"Laelia, the Blade Reforged",Once Upon a Time,Lurrus of the Dream-Den,"Dovin, Hand of Control",Seasoned Dungeoneer,Chain of Vapor
