,seefel,sti1983,drpeepeepoopoomd,sphagan,lostparagon,dmags0917,trashboat6824,masterplum
Date,2024-08-16,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1uIBY3FaJyZ44BIkznjQ7QsnZPuAb6J_VTY7vWVybfAY/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Black Lotus,Ancestral Recall,Mana Crypt,Mox Jet,Time Vault,Mox Sapphire,Mox Pearl,Mox Emerald
2,White Plume Adventurer,Demonic Tutor,Time Walk,Thoughtseize,Urza's Saga,Force of Will,Sol Ring,Mox Ruby
3,"Ragavan, Nimble Pilferer",Vampiric Tutor,"Minsc & Boo, Timeless Heroes",Inquisition of Kozilek,Ancient Tomb,Mox Diamond,The One Ring,Force of Negation
4,"Comet, Stellar Pup",Chrome Mox,Thassa's Oracle,Grief,Mana Vault,Spell Pierce,Mana Drain,Mental Misstep
5,Forth Eorlingas!,Gitaxian Probe,"Oko, Thief of Crowns",Orcish Bowmasters,Tinker,Hullbreacher,Tolarian Academy,Ponder
6,Arid Mesa,Polluted Delta,Lion's Eye Diamond,Reanimate,Strip Mine,Preordain,"Karn, the Great Creator","Tamiyo, Inquisitive Student"
7,City of Traitors,Scalding Tarn,Misty Rainforest,Prismatic Vista,Wooded Foothills,Flooded Strand,"Emry, Lurker of the Loch",Pyroblast
8,Swords to Plowshares,Bloodstained Mire,Underworld Breach,Marsh Flats,Fastbond,"Teferi, Time Raveler",Counterspell,Broadside Bombardiers
9,Lotus Petal,Dack Fayden,Brain Freeze,Verdant Catacombs,Windswept Heath,Mana Leak,Tundra,Lightning Bolt
10,Red Elemental Blast,"Jace, Vryn's Prodigy",Volcanic Island,Badlands,Taiga,Snapcaster Mage,Balance,Lorien Revealed
11,Caves of Chaos Adventurer,Library of Alexandria,Wrenn and Six,Abrade,Grim Monolith,Brazen Borrower,Basalt Monolith,Steam Vents
12,Seasoned Dungeoneer,Fury,Wheel of Fortune,Plateau,Fable of the Mirror-Breaker,Solitude,"Zirda, the Dawnwaker",Karakas
13,"Laelia, the Blade Reforged",Sink into Stupor,Tropical Island,"Gut, True Soul Zealot",Painter's Servant,Path to Exile,Hydroblast,Blue Elemental Blast
14,Wasteland,Brainstorm,Innkeeper's Talent,Scrubland,"Boseiju, Who Endures",March of Otherworldly Light,"Urza, Lord High Artificer","Lutri, the Spellchaser"
