,hyphenated,everbrink,lostparagon,trashboat6824,seefel,sphagan,sti1983,xxxmason1337xxx
Date,2024-09-13,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1nwTbNs-y5e36leCBRz3IEBXhzNi3B08cU-coQO1ANMs/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Mox Sapphire,Black Lotus,Mana Crypt,Sol Ring,Time Walk,Mox Jet,Mox Emerald
2,Force of Negation,Mox Diamond,Thoughtseize,White Plume Adventurer,Time Vault,Force of Will,Mox Ruby,Mox Pearl
3,Hullbreacher,Strip Mine,Demonic Tutor,Chrome Mox,Urza's Saga,Snapcaster Mage,The One Ring,Ancient Tomb
4,Vampiric Tutor,"Oko, Thief of Crowns",Underworld Breach,"Ragavan, Nimble Pilferer",Tinker,"Teferi, Time Raveler","Karn, the Great Creator",Walking Ballista
5,Orcish Bowmasters,Misty Rainforest,Polluted Delta,Mana Vault,Lion's Eye Diamond,Mana Drain,"Minsc & Boo, Timeless Heroes",Reanimate
6,Thassa's Oracle,Timetwister,Bloodstained Mire,Pyroblast,City of Traitors,Flooded Strand,Mental Misstep,"Boseiju, Who Endures"
7,Spell Pierce,Fastbond,Dark Ritual,Red Elemental Blast,Grim Monolith,Prismatic Vista,Scalding Tarn,Gaea's Cradle
8,Mystical Tutor,"Tamiyo, Inquisitive Student",Duress,Forth Eorlingas!,Sensei's Divining Top,Karakas,Wooded Foothills,Birds of Paradise
9,Gitaxian Probe,Tropical Island,Brain Freeze,"Comet, Stellar Pup",Lotus Petal,Solitude,Verdant Catacombs,Windswept Heath
10,Inquisition of Kozilek,Brazen Borrower,Underground Sea,Swords to Plowshares,Tolarian Academy,Vendilion Clique,Wrenn and Six,Marsh Flats
11,Mystical Dispute,Veil of Summer,Ponder,Balance,Mox Opal,Faerie Mastermind,Wasteland,Collector Ouphe
12,"Lutri, the Spellchaser",Library of Alexandria,Volcanic Island,Plateau,Enlightened Tutor,Psychic Frog,Fury,Arid Mesa
13,Preordain,Brainstorm,Flusterstorm,Path to Exile,Mishra's Bauble,Tishana's Tidebinder,Abrade,Scrubland
14,"Jace, Vryn's Prodigy","Nadu, Winged Wisdom",Wheel of Fortune,Fable of the Mirror-Breaker,Urza's Bauble,Tundra,Badlands,Savannah
15,Daze,"Bristly Bill, Spine Sower",Dragon's Rage Channeler,Esper Sentinel,Painter's Servant,Watery Grave,Bayou,Wall of Roots
