,trashboat6824,drpeepeepoopoomd,xxxmason1337xxx,masterplum,jasterrogue7,sti1983,e5bishop,sphagan
Date,2025-01-25,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1mEZuvQefIeOm4S-1L7nN5AF4SdIg3RduQyomTVCtAH8/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,Sol Ring,Mox Jet,Time Vault,Mox Ruby
2,Force of Negation,White Plume Adventurer,"Minsc & Boo, Timeless Heroes",Force of Will,Urza's Saga,Time Walk,Mox Pearl,Mox Emerald
3,"Ragavan, Nimble Pilferer",Thoughtseize,Ancient Tomb,Demonic Tutor,Mana Vault,Vampiric Tutor,Mishra's Workshop,Tinker
4,Spell Pierce,Mox Diamond,Strip Mine,Tainted Pact,The One Ring,Mental Misstep,Trinisphere,"Oko, Thief of Crowns"
5,Snapcaster Mage,"Teferi, Time Raveler",Gitaxian Probe,Inquisition of Kozilek,"Karn, the Great Creator",Hullbreacher,Mystic Forge,Misty Rainforest
6,Red Elemental Blast,Reanimate,Timetwister,Mana Drain,Grim Monolith,Orcish Bowmasters,Tezzeret the Seeker,Scalding Tarn
7,Pyroblast,Polluted Delta,Wheel of Fortune,Psychic Frog,Tolarian Academy,Chrome Mox,Mox Opal,Broadside Bombardiers
8,Daze,Karakas,Wooded Foothills,Flooded Strand,"Urza, Lord High Artificer","Tamiyo, Inquisitive Student","Emry, Lurker of the Loch",Kappa Cannoneer
9,Lightning Bolt,Grief,"Lutri, the Spellchaser",Library of Alexandria,Walking Ballista,Vendilion Clique,Chalice of the Void,Brazen Borrower
10,Arid Mesa,Swords to Plowshares,Fastbond,Underground Sea,Sensei's Divining Top,"Jace, Vryn's Prodigy",Krark-Clan Ironworks,Prismatic Vista
11,Ponder,Watery Grave,"Uro, Titan of Nature's Wrath",Preordain,Lion's Eye Diamond,"Otawara, Soaring City",Trinket Mage,Forth Eorlingas!
12,Lorien Revealed,Balance,Green Sun's Zenith,Duress,Lotus Petal,Wasteland,Tribute Mage,"Comet, Stellar Pup"
13,Volcanic Island,Lurrus of the Dream-Den,Force of Vigor,Sink into Stupor,Mishra's Bauble,Tishana's Tidebinder,Thassa's Oracle,Birds of Paradise
14,Mystical Tutor,Tundra,Collector Ouphe,Animate Dead,Patchwork Automaton,Entomb,Underworld Breach,Hexdrinker
15,Abrade,Dauthi Voidwalker,"Boseiju, Who Endures",Flash,Lodestone Golem,Mystical Dispute,Grinding Station,Tropical Island
16,Meltdown,Phantasmal Image,City of Brass,"Atraxa, Grand Unifier",Phyrexian Metamorph,"Takenuma, Abandoned Mire",Scrap Trawler,Plateau
17,Counterspell,Stoneforge Mystic,Mana Confluence,Dark Depths,Auriok Salvagers,Darkslick Shores,Arcbound Ravager,Savannah
18,Fury,Solitude,Wrenn and Six,Brainstorm,Dismember,Underground River,Manifold Key,Delighted Halfling
19,Steam Vents,Prismatic Ending,Windswept Heath,Verdant Catacombs,"Syr Ginger, the Meal Ender",Consider,Myr Retriever,Endurance
20,Tasha's Hideous Laughter,Dress Down,"Leovold, Emissary of Trest",Bloodstained Mire,"Karn, Scion of Urza",Shelldock Isle,Ichor Wellspring,Urza's Bauble
21,Faerie Mastermind,Marsh Flats,Ramunap Excavator,Woodfall Primus,Enlightened Tutor,Consign to Memory,Brain Freeze,Pentad Prism
22,Blue Elemental Blast,Hydroblast,Courser of Kruphix,Show and Tell,Monastery Mentor,Bitter Triumph,Semblance Anvil,Thought Monitor
23,Flare of Denial,Esper Sentinel,Noble Hierarch,Undercity Sewers,Painter's Servant,"Malcolm, Alluring Scoundrel",Chromatic Star,Questing Druid
24,Bonecrusher Giant,Energy Flux,"Narset, Parter of Veils",Mana Leak,Grindstone,Subtlety,"Birgi, God of Storytelling",Questing Beast
25,Blood Moon,Null Rod,Grove of the Burnwillows,Archon of Cruelty,Seat of the Synod,Thought Scour,Paradoxical Outcome,Tree of Tales
26,Harsh Mentor,Supreme Verdict,Punishing Fire,Thespian's Stage,Into the Flood Maw,Echo of Eons,Chromatic Sphere,Pollywog Prodigy
27,An Offer You Can't Refuse,"Phelia, Exuberant Shepherd",Talon Gates of Madara,Clearwater Pathway,Retrofitter Foundry,Shallow Grave,Buried Ruin,Fear of Missing Out
28,Ledger Shredder,Scrubland,Crop Rotation,Dark Ritual,Altar of the Brood,Collective Brutality,Tormod's Crypt,Fable of the Mirror-Breaker
29,"Ashiok, Dream Render",Unearth,Taiga,Frantic Search,Umezawa's Jitte,Ethereal Forager,Silverbluff Bridge,Breeding Pool
30,Sprite Dragon,Leyline of the Void,Arboreal Grazer,Exhume,Hallowed Fountain,Liliana of the Veil,Great Furnace,Sacred Foundry
31,Mercurial Spelldancer,Leyline of Sanctity,Lotus Cobra,"Urborg, Tomb of Yawgmoth",Ancient Den,Arcane Denial,Lembas,March of Otherworldly Light
32,Fiery Islet,Back to Basics,Veil of Summer,Drowned Catacomb,Floodfarm Verge,Gloomlake Verge,Academy Ruins,"Laelia, the Blade Reforged"
33,Spirebluff Canal,Kaldra Compleat,Gush,Steel Sabotage,Mirage Mirror,Gemstone Caverns,Inventors' Fair,Seasoned Dungeoneer
34,Flusterstorm,"Ashiok, Nightmare Weaver",Amulet of Vigor,Chain of Vapor,Pithing Needle,Baleful Strix,Cascade Bluffs,Blightsteel Colossus
35,Chain Lightning,Dovin's Veto,Simic Growth Chamber,Cut Down,Mycosynth Lattice,Griselbrand,Archway of Innovation,God-Pharaoh's Statue
36,Thieving Skydiver,Lion Sash,Gruul Turf,Snuff Out,"Tameshi, Reality Architect",River of Tears,Wizard's Rockets,Portal to Phyrexia
37,Maddening Hex,Meticulous Archive,Dryad of the Ilysian Grove,Vampire Hexmage,Razortide Bridge,Miscast,Crystal Vein,Rip Apart
38,True-Name Nemesis,Cathar Commando,Spelunking,Fell the Profane,City of Traitors,Harbinger of the Seas,Shivan Reef,Leyline Binding
39,Riverglide Pathway,Troll of Khazad-dum,Primeval Titan,Remand,Bribery,"Emrakul, the Aeons Torn",Glaring Fleshraker,Haywire Mite
40,Prismari Command,Seal of Cleansing,Mystic Sanctuary,Stern Scolding,Lavaspur Boots,Creeping Tar Pit,Frostboil Snarl,Fateful Absence
41,Price of Progress,"Dovin, Hand of Control",Hedge Maze,"Torsten, Founder of Benalia","Karn, Legacy Reforged",Hurkyl's Recall,Spire of Industry,Rest in Peace
42,Archmage's Charm,Raffine's Tower,Ketria Triome,Waterlogged Teachings,"Heliod, Sun-Crowned",Fading Hope,Abstergo Entertainment,"Kataki, War's Wage"
43,Sulfur Falls,Samwise the Stouthearted,Boros Garrison,Containment Priest,Copy Artifact,Geier Reach Sanitarium,Urza's Tower,Spara's Headquarters
44,Faerie Macabre,Palace Jailer,Slayers' Stronghold,Soul-Guide Lantern,"Crystal Skull, Isu Spyglass",Cling to Dust,Planar Nexus,Tireless Provisioner
45,By Force,Sword of Hearth and Home,Glacial Chasm,Lim-Dul's Vault,Acquire,Darkblast,Stormcarved Coast,"Jegantha, the Wellspring"
46,Generous Plunderer,Cabal Therapy,"Valakut, the Molten Pinnacle",Worldspine Wurm,Ethersworn Canonist,Fallen Shinobi,Into the Roil,Path to Exile
