,swifty2400,trashboat6824,everbrink,lostparagon,sti1983,katerberg,sphagan,e5bishop
Date,2025-02-01,,,,,,,
Notes,https://docs.google.com/spreadsheets/d/1xPbRI-rKrdgigaqqeF3SZREZXURBerb6kVahxjcH20w/edit?gid=0#gid=0,,,,,,,
Wins,,,,,,,,
Losses,,,,,,,,
1,Ancestral Recall,Black Lotus,Mox Jet,Mana Crypt,Mox Sapphire,Mox Ruby,Time Vault,Time Walk
2,Force of Negation,Demonic Tutor,Thoughtseize,White Plume Adventurer,Mox Emerald,Mox Pearl,Force of Will,Sol Ring
3,"Ragavan, Nimble Pilferer",Chrome Mox,Strip Mine,Urza's Saga,Mana Vault,Mox Diamond,The One Ring,Tinker
4,Snapcaster Mage,Vampiric Tutor,Inquisition of Kozilek,Ancient Tomb,"Karn, the Great Creator","Minsc & Boo, Timeless Heroes",Spell Pierce,Grim Monolith
5,Gitaxian Probe,Polluted Delta,Orcish Bowmasters,Solitude,"Oko, Thief of Crowns",Lion's Eye Diamond,Mana Drain,Hullbreacher
6,Flooded Strand,Scalding Tarn,"Sheoldred, the Apocalypse",Swords to Plowshares,Mental Misstep,Lotus Petal,"Teferi, Time Raveler",Sensei's Divining Top
7,Prismatic Vista,Thassa's Oracle,Verdant Catacombs,Arid Mesa,Tolarian Academy,"Lutri, the Spellchaser",Karakas,Fastbond
8,Daze,Misty Rainforest,Veil of Summer,Forth Eorlingas!,"Tamiyo, Inquisitive Student",Underworld Breach,Sink into Stupor,Channel
9,Brazen Borrower,Mystical Tutor,"Boseiju, Who Endures",Pyroblast,Mox Opal,Red Elemental Blast,"Urza, Lord High Artificer",Show and Tell
10,Volcanic Island,Underground Sea,Marsh Flats,Fable of the Mirror-breaker,Once Upon a Time,Wheel of Fortune,Enlightened Tutor,Hexdrinker
11,Fury,Tainted Pact,Wooded Foothills,Seasoned Dungeoneer,Mishra's Workshop,Broadside Bombardiers,"Emry, Lurker of the Loch",Timetwister
12,Preordain,Ponder,Grief,"Gut, True Soul Zealot","Otawara, Soaring City",Dragon's Rage Channeler,Phyrexian Metamorph,Memory Jar
13,Counterspell,Brainstorm,Reanimate,Windswept Heath,Library of Alexandria,"Comet, Stellar Pup",Remand,"Narset, Parter of Veils"
14,Mystical Dispute,"Jace, Vryn's Prodigy",Duress,Collector Ouphe,Mishra's Bauble,Brain Freeze,March of Otherworldly Light,Tropical Island
15,Dress Down,Flusterstorm,Wasteland,Archon of Emeria,Urza's Bauble,Bloodstained Mire,Consign to Memory,Windfall
16,Caves of Chaos Adventurer,Dark Ritual,Bayou,Sacred Foundry,City of Traitors,Plateau,Vendilion Clique,Exploration
17,Lightning Bolt,Hydroblast,Hymn to Tourach,Savannah,Lodestone Golem,Taiga,Manifold Key,Flash
18,Steam Vents,Miscast,Force of Vigor,Headliner Scarlett,Dack Fayden,Stoneforge Mystic,Seat of the Synod,Protean Hulk
19,Lorien Revealed,Miscalculation,Deathrite Shaman,"Inti, Seneschal of the Sun",Esper Sentinel,Skullclamp,Lose Focus,Veteran Explorer
20,Mana Leak,An Offer You Can't Refuse,Dauthi Voidwalker,Guide of Souls,Walking Ballista,Goblin Rabblemaster,Forensic Gadgeteer,"Sidisi, Undead Vizier"
21,Blue Elemental Blast,Mind Twist,Scavenging Ooze,Mother of Runes,Kappa Cannoneer,Monastery Mentor,Mox Amber,Breeding Pool
22,Null Rod,Watery Grave,Fell the Profane,Amped Raptor,Balance,Seasoned Pyromancer,Tundra,Hedron Crab
23,Bonecrusher Giant,Defense Grid,Overgrown Tomb,Wrath of the Skies,Chromatic Star,Inspiring Vantage,Hallowed Fountain,Ruin Crab
24,Abrade,Pact of Negation,Baleful Mastery,Shadowspear,Glaring Fleshraker,Copperline Gorge,Repurposing Bay,Dryad Arbor
25,Faerie Mastermind,Chromatic Sphere,Nurturing Peatland,Static Prison,Thought-Knot Seer,Questing Druid,Arcum's Astrolabe,Sidisi's Faithful
26,Consider,Street Wraith,Endurance,"Magda, Brazen Outlaw",Tangle Wire,Faithless Looting,Tishana's Tidebinder,Phantasmal Image
27,Thundering Falls,Lim-Dul's Vault,Troll of Khazad-dum,Witch Enchanter,Grindstone,Manamorphose,Ancient Den,Simic Growth Chamber
28,Chain of Vapor,Waterlogged Teachings,Liliana of the Veil,Vexing Bauble,Painter's Servant,Empty the Warrens,The Wandering Emperor,"Oboro, Palace in the Clouds"
29,Mystic Sanctuary,Into the Flood Maw,"Ashiok, Dream Render",Deafening Silence,Inventors' Fair,Kaldra Compleat,"Venser, Shaper Savant",Botanical Sanctum
30,Relic of Progenitus,Swan Song,Tireless Tracker,Anointed Peacekeeper,Thoughtcast,Stomping Ground,Spell Queller,Flooded Grove
31,Soul-Guide Lantern,Gloomlake Verge,Darkbore Pathway,Sunbillow Verge,Ensnaring Bridge,Chain Lightning,"Teferi, Who Slows the Sunset","Emrakul, the Aeons Torn"
32,Brotherhood's End,Unmask,Abrupt Decay,Ocelot Pride,Mycosynth Lattice,Sunbaked Canyon,"Skrelv, Defector Mite",Lightning Greaves
33,Trickbind,Boggart Trawler,Barrowgoyf,"Otharri, Suns' Glory",Planar Nexus,Ancient Grudge,"Shorikai, Genesis Engine",Elvish Spirit Guide
34,Pestermite,Demonic Consultation,"Takenuma, Abandoned Mire","Ajani, Nacatl Pariah",Pithing Needle,Rugged Prairie,Unstoppable Plan,The Tabernacle at Pendrell Vale
35,Splinter Twin,Delay,Ignoble Hierarch,Talisman of Conviction,Stifle,Smuggler's Copter,Celestial Colonnade,Hinterland Harbor
36,Deceiver Exarch,Agadeem's Awakening,Court of Garenbrig,Skyclave Apparition,Urza's Tower,Harsh Mentor,Flashfreeze,Waterlogged Grove
37,Jwari Disruption,Darkslick Shores,Alpha Deathclaw,"Thalia, Guardian of Thraben",Trinisphere,Strike It Rich,Supreme Verdict,Delighted Halfling
38,Spirebluff Canal,Necropotence,Emperor of Bones,Boros Signet,Talon Gates of Madara,Rite of Flame,Path to Exile,Energy Flux
39,Generous Plunderer,Underground River,Life from the Loam,Palace Jailer,Thought Monitor,Desperate Ritual,Subtlety,Gush
40,Imperial Recruiter,Hurkyl's Recall,Tear Asunder,Rest in Peace,Eldrazi Temple,Pyretic Ritual,Humility,Nature's Claim
41,"Kiki-Jiki, Mirror Breaker",Collective Brutality,Underground Mortuary,Ranger-Captain of Eos,Mystic Forge,Den of the Bugbear,Aven Mindcensor,Eternal Witness
42,Aether Gust,Cut Down,Snuff Out,Active Volcano,Spire of Industry,Maddening Hex,Floodpits Drowner,Displacer Kitten
43,True-Name Nemesis,Stern Scolding,Opposition Agent,Chalice of the Void,Adarkar Wastes,"Sokenzan, Crucible of Defiance",Minor Misstep,Shelldock Isle
44,Steel Sabotage,Sea Gate Restoration,Fatal Push,Disruptor Flute,Mana Confluence,Atarka's Command,Horizon of Progress,Noble Hierarch
45,Riverglide Pathway,Laboratory Maniac,Restless Cottage,Elegant Parlor,Metallic Rebuke,Magus of the Moon,Back to Basics,Ash Barrens
46,"Mikokoro, Center of the Sea",Drowned Catacomb,Creeping Corrosion,Galvanic Discharge,Talisman of Progress,Thornscape Familiar,Reprieve,Barkchannel Pathway
