,hyphenated,trashboat6824,jaera__,sti1983,dmags0917,sphagan,joking101,everbrink
Date,2025-03-26,,,,,,,
Notes,,,,,,,,
Wins,0,2,0,5,0,0,0,0
Losses,2,0,1,1,0,1,1,1
1,Ancestral Recall,Black Lotus,Mana Crypt,Mox Sapphire,Mox Ruby,Mox Jet,Time Vault,Force of Will
2,Demonic Tutor,White Plume Adventurer,"Ragavan, Nimble Pilferer",Time Walk,Mox Diamond,Mox Emerald,Sol Ring,Mox Pearl
3,Vampiric Tutor,Ancient Tomb,Urza's Saga,Hullbreacher,Mana Vault,Thoughtseize,The One Ring,Force of Negation
4,Duress,Chrome Mox,Orcish Bowmasters,Mental Misstep,Forth Eorlingas!,"Minsc & Boo, Timeless Heroes",Tinker,Spell Pierce
5,Inquisition of Kozilek,"Comet, Stellar Pup",Bloodstained Mire,Snapcaster Mage,Lotus Petal,Strip Mine,Tolarian Academy,Solitude
6,Thassa's Oracle,Fury,Dark Ritual,Mana Drain,"Laelia, the Blade Reforged",Fastbond,"Tamiyo, Inquisitive Student",Swords to Plowshares
7,Mystical Tutor,"Thalia, Guardian of Thraben",Gitaxian Probe,Timetwister,Fable of the Mirror-Breaker,Broadside Bombardiers,Ponder,Vendilion Clique
8,Reanimate,Red Elemental Blast,Wasteland,"Karn, the Great Creator",Grim Monolith,Lightning Bolt,Preordain,Faerie Mastermind
9,Polluted Delta,Pyroblast,Manamorphose,"Oko, Thief of Crowns",Caves of Chaos Adventurer,Prismatic Vista,Brainstorm,Karakas
10,Scalding Tarn,Arid Mesa,Tendrils of Agony,Misty Rainforest,Seasoned Dungeoneer,Verdant Catacombs,Sensei's Divining Top,Flooded Strand
11,Marsh Flats,Plateau,Badlands,"Boseiju, Who Endures",City of Traitors,Collector Ouphe,Mox Opal,Tundra
12,Grief,Esper Sentinel,Wheel of Fortune,"Teferi, Time Raveler",Archon of Emeria,Wooded Foothills,Tezzeret the Seeker,Tishana's Tidebinder
13,Hallowed Fountain,Abrade,Urza's Bauble,"Jace, Vryn's Prodigy","Otharri, Suns' Glory",Dauthi Voidwalker,Manifold Key,March of Otherworldly Light
14,"Atraxa, Grand Unifier",Prismatic Ending,Mishra's Bauble,Windswept Heath,Sacred Foundry,Veil of Summer,Voltaic Key,Stoneforge Mystic
15,Entomb,Blood Moon,Grapeshot,"Otawara, Soaring City",Loran of the Third Path,Hexdrinker,Counterspell,Sink into Stupor
16,Tainted Pact,Bonecrusher Giant,Dark Confidant,Once Upon a Time,Path to Exile,Green Sun's Zenith,Lose Focus,Witch Enchanter
17,Underground Sea,Skyclave Apparition,Dragon's Rage Channeler,Endurance,"Gut, True Soul Zealot",Wrenn and Six,Mana Leak,Blue Elemental Blast
18,Demonic Consultation,Palace Jailer,Underworld Breach,Subtlety,Headliner Scarlett,Taiga,Remand,Hydroblast
19,Dread Fugue,Balance,Faithless Looting,Consign to Memory,"Ajani, Nacatl Pariah",Bayou,Lorien Revealed,Mystical Dispute
20,Mana Confluence,Stony Silence,Desperate Ritual,Shelldock Isle,Simian Spirit Guide,Blood Crypt,Expedition Map,Flusterstorm
21,City of Brass,Rest in Peace,Chain Lightning,Daze,Robber of the Rich,Ignoble Hierarch,Dress Down,"Phelia, Exuberant Shepherd"
22,Imperial Seal,Elite Spellbinder,Raucous Theater,Meticulous Archive,Generous Plunderer,"Inti, Seneschal of the Sun",Defense Grid,Lion Sash
23,Animate Dead,Anointed Peacekeeper,Cabal Ritual,Tropical Island,Sunbaked Canyon,Skullclamp,"Urza, Lord High Artificer","Lutri, the Spellchaser"
24,Unmask,Enlightened Tutor,Kolaghan's Command,Birds of Paradise,Inspiring Vantage,Assassin's Trophy,Retrofitter Foundry,Clarion Conqueror
25,Psychic Frog,Maddening Hex,Rakdos Charm,Delighted Halfling,Rip Apart,Abrupt Decay,Talisman of Progress,Seachrome Coast
26,Miscast,"Eiganjo, Seat of the Empire",Talisman of Indulgence,Stomping Ground,Talisman of Conviction,"Grist, the Hunger Tide",Talisman of Dominance,Restless Anchorage
