,Dan,Mike,Mason,Heidi,Jeff,Jason,Max,Derian
Date,2022-08-14,,,,,,,
Notes,https://www.moxfield.com/decks/t1SiSL7tl0-P5hkw2Go7yQ,https://www.moxfield.com/decks/APNQ99pOakSF-j9QUO632A,https://www.moxfield.com/decks/rZ-EJdlBz02UnRJHXKO4ag,https://www.moxfield.com/decks/f6p-uN1fnEWXznE2kImU8A,https://www.moxfield.com/decks/tMJMsZWL306I0XwkpJCx0Q,https://www.moxfield.com/decks/WG4NJL0-QU6mbll-mZMiPw,https://www.moxfield.com/decks/ZxzqdvGjIkK_s19Gu9Yq1w,https://www.moxfield.com/decks/GX3-S07I3ECzVBXZp3Vz_A
Wins,5,4,6,2,3,1,5,2
Losses,2,3,1,5,4,6,2,5
1,Black Lotus,Ancestral Recall,Mana Crypt,mox jet,Mox Sapphire,Mox Pearl,Sol Ring,Mox Emerald
2,timetwister,Polluted Delta,Time Walk,swords to plowshares,"Teferi, Time Raveler",Thoughtseize,Mox Ruby,Urza's Saga
3,hullbreacher,Scalding Tarn,Force of Will,esper sentinel,Time Vault,Sylvan Library,Demonic Tutor,Strip Mine
4,underworld breach,"Ragavan, Nimble Pilferer",Snapcaster Mage,karakas,Tinker,Wasteland,Vampiric Tutor,Mox Diamond
5,brain freeze,Deathrite Shaman,Force of Negation,null rod,Mishra's Workshop,Wrenn and Six,"Oko, Thief of Crowns",Fastbond
6,Lion's eye diamond,Gitaxian Probe,"Lutri, the Spellchaser",inquisition of kozilek,Misty Rainforest,Crucible of Worlds,Flooded Strand,Ramunap Excavator
7,wheel of fortune,Cabal Therapy,Brazen Borrower,lurrus of the dream-den,Mox Opal,Dark Depths,Mental Misstep,Wooded Foothills
8,time spiral,"Narset, Parter of Veils",Tropical Island,"thalia, guardian of thraben",Tundra,Thespian's Stage,Dark Ritual,Prismatic Vista
9,chrome mox,Opposition Agent,Ponder,badlands,Volcanic Island,Elvish Reclaimer,Brainstorm,Crop Rotation
10,Thassa's oracle,Underground Sea,Mana Drain,aether vial,Windswept Heath,Knight of the Reliquary,Verdant Catacombs,Green Sun's Zenith
11,muddle the mixture,Steam Vents,Spell Pierce,mother of runes,Transmute Artifact,Mana Confluence,Lotus Petal,"Boseiju, Who Endures"
12,tolarian academy,dreadhorde arcanist,Daze,"kytheon, hero of akros",Arcum's Astrolabe,City of Brass,Bloodstained Mire,Once Upon a Time
13,windfall,lightning bolt,Breeding Pool,unearth,"Karn, the Great Creator","Yavimaya, Cradle of Growth",Duress,Force of Vigor
