,1,2,3,4,5,6,7,8
Date,2025-01-18,,,,,,,
1,Black Lotus,Ancestral Recall,Time Walk,Library of Alexandria,Sol Ring,Time Vault,Mox Sapphire,Mox Jet
2,Tolarian Academy,Force of Will,Timetwister,Tinker,Mana Crypt,Mox Pearl,Mox Emerald,Mox Ruby
3,Urza's Saga,Mana Drain,Time Spiral,Mana Vault,Trinisphere,Demonic Tutor,Entomb,Lion's Eye Diamond
4,Mox Opal,Force of Negation,"Jace, Vryn's Prodigy",Manifold Key,Mox Diamond,Vampiric Tutor,Psychic Frog,Underworld Breach
5,"Urza, Lord High Artificer","Narset, Parter of Veils",Snapcaster Mage,"Ragavan, Nimble Pilferer",Seasoned Dungeoneer,Thoughtseize,Underground Sea,Wheel of Fortune
6,Strip Mine,Hullbreacher,Fastbond,Mental Misstep,White Plume Adventurer,The One Ring,Polluted Delta,Brain Freeze
7,Crucible of Worlds,"Teferi, Time Raveler",Mystical Tutor,Dack Fayden,Chalice of the Void,Orcish Bowmasters,Reanimate,Frantic Search
8,Grim Monolith,Containment Priest,Lurrus of the Dream-Den,Portal to Phyrexia,Swords to Plowshares,"Karn, the Great Creator",Brainstorm,Chrome Mox
9,Walking Ballista,Karakas,Scalding Tarn,Sensei's Divining Top,Leyline of the Void,Ancient Tomb,Spell Pierce,Windfall
10,Vexing Bauble,Balance,Spellseeker,An Offer You Can't Refuse,Anointed Peacekeeper,Inquisition of Kozilek,Animate Dead,Ponder
11,Esper Sentinel,"Comet, Stellar Pup","Nadu, Winged Wisdom",Bolas's Citadel,Phyrexian Revoker,Imperial Seal,Counterspell,Preordain
12,Azorius Signet,Flooded Strand,"Tamiyo, Inquisitive Student",Mana Leak,"Thalia, Guardian of Thraben",Dark Depths,Duress,Gitaxian Probe
13,Izzet Signet,Volcanic Island,Flash,Red Elemental Blast,Noble Hierarch,Hymn to Tourach,"Atraxa, Grand Unifier",Bloodstained Mire
14,Expedition Map,Tundra,Lórien Revealed,Wurmcoil Engine,March of Otherworldly Light,Thespian's Stage,Daze,Misty Rainforest
15,Dimir Signet,"Lutri, the Spellchaser",Vaultborn Tyrant,Sylvan Library,"Phelia, Exuberant Shepherd",Verdant Catacombs,Lotus Petal,Dark Ritual
16,Wasteland,Arid Mesa,Windswept Heath,Wooded Foothills,Spirit of the Labyrinth,Deathrite Shaman,Marsh Flats,Watery Grave
17,Mind Over Matter,Forth Eorlingas!,Undermountain Adventurer,Tropical Island,Get Lost,Prismatic Vista,Undercity Sewers,Steam Vents
18,Chromatic Sphere,Miscalculation,Remand,Taiga,Elite Spellbinder,Birds of Paradise,Grief,Chromatic Star
19,Baleful Strix,Lightning Bolt,Breeding Pool,Veil of Summer,Glimmer Lens,Mind Twist,Memory Lapse,Xander's Lounge
20,Exploration,Path to Exile,"Oko, Thief of Crowns",Farseek,Palace Jailer,Once Upon a Time,Archon of Cruelty,Night's Whisper
21,Mishra's Workshop,Hallowed Fountain,Pest Infestation,Resculpt,Guide of Souls,Dark Confidant,Life // Death,Gush
22,Tireless Tracker,Thundering Falls,Hedge Maze,Channel,Ocelot Pride,Stoneforge Mystic,Unearth,Pact of Negation
23,Engineered Explosives,Archon of Emeria,Springheart Nantuko,Blightsteel Colossus,Skullclamp,Liliana of the Veil,Thassa's Oracle,Demonic Consultation
24,Blue Sun's Zenith,Prismatic Ending,Mystic Confluence,Consign to Memory,Jacked Rabbit,Dauthi Voidwalker,Doomsday,Laboratory Maniac
25,Scroll Rack,Null Rod,Worldspine Wurm,Mission Briefing,Guardian Scalelord,"Sheoldred, the Apocalypse",Serum Visions,Yawgmoth's Will
26,Goblin Engineer,Merchant Scroll,Dismember,"Minsc & Boo, Timeless Heroes","Ajani, Nacatl Pariah",Voltaic Key,Street Wraith,Echo of Eons
27,"Sai, Master Thopterist",Mystical Dispute,Eternal Witness,"Boseiju, Who Endures",Disruptor Flute,Bayou,Troll of Khazad-dûm,Unmask
28,Pyrite Spellbomb,Fact or Fiction,Regrowth,Faerie Mastermind,Cathar Commando,Crop Rotation,Fatal Push,Defense Grid
